quantity;description;price;executed_at;order_identifier;order_reference;account.name;action.name;currency.name;exchange.name;underlying.name
7;MAR13 Futures ;22456,4290;15.03.2013 02:55;00033e1c.00012f31.5141648c.0001;OVL HSI I1 S;DU19844;SLD;HSI;HKFE;HSI
7;MAR13 Futures ;22321,0000;15.03.2013 09:12;00033e1c.00012f31.5142b30e.0001;OVL HSI I1 S;DU19844;BOT;HSI;HKFE;HSI
7;MAR13 Futures ;22399,0000;15.03.2013 02:55;00033e1c.00012f31.5141648b.0001;OVL HSI I1 LS;DU19844;SLD;HSI;HKFE;HSI
31;MAR13 Futures ;2744,0000;15.03.2013 08:15;00033e1c.00012f31.5142b2e7.0001;MCM ESTX B 50% S;DU19844;SLD;ESTX50;DTB;ESTX50
53;JUN13 Futures ;1553,0000;15.03.2013 15:39;00033e1c.00012f31.5142b3d5.0001;MCM ES B 50% L;DU19844;BOT;ES;GLOBEX;ES
53;JUN13 Futures ;1553,0000;15.03.2013 22:10;00033e1c.00012f31.5142b6cf.0001;MCM ES B 50% L;DU19844;SLD;ES;GLOBEX;ES
6;JUN13 Futures ;8073,5000;15.03.2013 09:03;00033e1c.00012f31.5142b2f8.0001;MCM DAX B 50% S;DU19844;SLD;DAX;DTB;DAX
6;JUN13 Futures ;8052,0000;15.03.2013 21:55;00033e1c.00012f31.5142b6bd.0001;MCM DAX B 50% S;DU19844;BOT;DAX;DTB;DAX
9;MAR13 Futures ;3838,5000;15.03.2013 14:28;00033e1c.00012f31.5142b2e9.0001;MCM CAC B 50% S;DU19844;SLD;CAC40;MONEP;CAC40
1;MAR13 Futures ;2740,0000;15.03.2013 09:05;00033e1c.00012f31.5142b2e5.0001;ESTX S;DU19844;SLD;ESTX50;DTB;ESTX50

